statement,overview
teacher are punctual but they should also give us the some practical knowledge other than theortical,average
content of courses are average,average
examination pattern is good,good
"not satisfactory, lab work must include latest technologies",bad
library facilities are good but number of books are less,not bad
good,good
Not good,not bad
Excellent lectures are delivered by teachers and all teachers are very punctual.,excellent
All courses material provide very good knowledge in depth .,good
"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",average
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,good
good and punctual,good
teachers give us all the information required to improve the performance.,good
It's good when compare with my Btech lectures and teaching activities.,excellent
way of teaching is good,good
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",not bad
As compared to other colleges and university our university is perfect in all the aspects,good
Lectures helps in clear our concept,good
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",average
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",good
lecturer are punctual and can interact them easily.,excellent
Punctuality is good. Most of the teachers are not interacting with students .,average
nice,average
lecture delivery is not so good,bad
It's good when compare with my Btech lectures and teaching activities.,good
"Discipline, punctuality , lecture delivery all are good but have to do some work for quality of lecture",average
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",average
Perfect,excellent
It is really good,good
Very good teaching and management but too much load on student and working hours,average
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,not bad
According to me everything is going well in accordance to interaction.More than enough is served. ,good
Very good teaching and management but too much load on student and working hours,not bad
not effective and satisfactory in terms of lecture delivery by all the faculty .,bad
Accurate,good
it is good depending on the faculty,good
"maintained punctuality, good lecture delivery",good
"it is quite good , depending on teacher and their experience",good
"it is quite good , depends upon teacher and their experience",good
the way of teaching is good but the time more than enough,average
good teaching delivery,good
"good, teacher is delivery the lecture in the best way they can",good
